"artist","title","key","song_url","artist_url"
"50 Cent Featuring Justin Timberlake & Timbaland","Ayo Technology",1000012,"08d8c94b44134107fe79fdebba043d7b66a02083","69c5cf882ad76f2cbae50aae77345ebea71f26f8"
"A Great Big World & Christina Aguilera","Say Something",1000014,"170ff3fb25eedcb8e2b7f513b6c07f5d508cfe91","a99f28c93c3e36e6d3c76fbaab5baeef40aa5f11"
"Adele","Hello",1000019,"4ab65f9b193ccc37f2059344322462ae5e9dac90","df070ad127f62d682596e515ac69d5bef56e0897"
"Adele","Rolling In The Deep",1000020,"efebcbfff09e158af7edcd30aff46dbe671093d1","df070ad127f62d682596e515ac69d5bef56e0897"
"Adele","Set Fire To The Rain",1000022,"70e56ff5287602e2720bec6838e51cb89fa2ce2d","df070ad127f62d682596e515ac69d5bef56e0897"
"Adele","Someone Like You",1000024,"d808ccb1a59c5f21a14cf8da9974558f84366933","df070ad127f62d682596e515ac69d5bef56e0897"
"Akon","Don't Matter",1000025,"929cca4b240638ddf8fc85f14cc5ee149994735e","ceb0515a8563350f9f7bfe8edcce589e0983a69a"
"Akon Featuring Eminem","Smack That",1000030,"a961e96d5015272bd6a4f10ccac1f2b5977ba346","ceb0515a8563350f9f7bfe8edcce589e0983a69a"
"Akon Featuring Snoop Dogg","I Wanna Love You",1000031,"610a9bd8622f504dc15246db1f9b0ba5a9ed48cd","ceb0515a8563350f9f7bfe8edcce589e0983a69a"
"Alessia Cara","Here",1000032,"a4aebcf0b5392f69d0d4fd0409df8de86811e28e","0d82d1fb8b223cf36e696a57f0d5e9949b104382"
"Alicia Keys","No One",1000036,"ae1de653e895ee09c1395168f5a64e71293ce86a","5e00c9accaf78a61e47e952b6e7060549ad6f290"
"Ariana Grande Featuring Iggy Azalea","Problem",1000048,"e9bdd264346659b7a12bbb5cb230270375913a03","9ebcff1926ceca5c06e065824b25d4a5989a5a5b"
"Ariana Grande Featuring Zedd","Break Free",1000050,"8c05f69c0b829d9be4ea2fdbc34eaa2eeed99464","9ebcff1926ceca5c06e065824b25d4a5989a5a5b"
"Artists For Haiti","We Are The World 25: For Haiti",1000051,"","24faef397665b06c13d94403236b522b58de12cd"
